Gene	antismash_cluster_type	mibig_cluster	mibig_product	compound
CIG00001_0001_2274	RiPP-like	BGC0000765	Saccharide	exopolysaccharide
CIG00001_0001_2297	RiPP-like	BGC0001947	Saccharide	K53 capsular polysaccharide
CIG00001_0001_2300	RiPP-like	BGC0000536	RiPP:Lanthipeptide	nisin Q
CIG00001_0001_2301	RiPP-like	BGC0000207	Polyketide	chartreusin
CIG00001_0001_2307	RiPP-like	BGC0000523	RiPP:Lanthipeptide	lactocin S
CIG00001_0001_2316	RiPP-like	BGC0000498, BGC0000561	RiPP:Lanthipeptide	bovicin HJ50, thermophilin 1277
CIG00001_0001_2322	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG00001_0001_2414	RiPP-like	BGC0000526	RiPP:Lanthipeptide	macedocin
CIG00001_0001_37	LAP	BGC0001171	RiPP:LAP	listeriolysin S
CIG00001_0001_556	LAP	BGC0000887	Alkaloid	saxitoxin
CIG00002_0001_37	LAP	BGC0001171	RiPP:LAP	listeriolysin S
CIG00011_0106_4	RiPP-like	BGC0000619, BGC0001602	RiPP	gassericin T, gassericin-T
CIG00023_0005_16	T3PKS	BGC0002287	NRP	mutanocyclin
CIG00023_0005_35	T3PKS	BGC0002378	NRP	coprisamide C
CIG00026_0002_337	RiPP-like	BGC0000619, BGC0001388, BGC0001602	RiPP	gassericin E, gassericin T, gassericin-T
CIG00026_0008_43	RiPP-like	BGC0000938	Other:Aminocoumarin	fosfomycin
CIG00034_0002_258	RiPP-like	BGC0000494	RiPP:Lanthipeptide	uberolysin
CIG00034_0002_262	RiPP-like	BGC0002577	RiPP	lactococcin G
CIG00034_0002_263	RiPP-like	BGC0000624, BGC0002585	Other, RiPP	salivaricin CRL1328 α peptide, ubericin K
CIG00034_0002_266	RiPP-like	BGC0002662	NRP	petrichorin A
CIG00034_0002_267	RiPP-like	BGC0000895	Other	citrulline
CIG00034_0002_396	lanthipeptide-class-ii	BGC0002326	NRP	endopyrrole B
CIG00034_0010_61	NRPS,NRPS-like	BGC0002713	NRP	mevalagmapeptide A
CIG00034_0010_62	NRPS,NRPS-like	BGC0000027	Polyketide:Iterative type I polyketide	ankaflavin
CIG00046_0001_131	lanthipeptide-class-ii	BGC0001209	RiPP	streptide
CIG00046_0001_132	lanthipeptide-class-ii	BGC0000555	RiPP:Lanthipeptide	staphylococcin C55 α
CIG00046_0001_133	lanthipeptide-class-ii	BGC0000520	RiPP:Lanthipeptide	lacticin 3147 A1
CIG00046_0001_134	lanthipeptide-class-ii	BGC0000555	RiPP:Lanthipeptide	staphylococcin C55 α
CIG00046_0001_135	lanthipeptide-class-ii	BGC0000555	RiPP:Lanthipeptide	staphylococcin C55 α
CIG00046_0001_136	lanthipeptide-class-ii	BGC0000520	RiPP:Lanthipeptide	lacticin 3147 A1
CIG00046_0001_137	lanthipeptide-class-ii	BGC0000520	RiPP:Lanthipeptide	lacticin 3147 A1
CIG00046_0001_138	lanthipeptide-class-ii	BGC0000555	RiPP:Lanthipeptide	staphylococcin C55 α
